Input (z),Result for z,Result for -z,Is Opposite
-42,-42.0,42.0,True
-66,-66.0,66.0,True
-16,-16.0,16.0,True
71,71.0,-71.0,True
-37,-37.0,37.0,True
-89,-89.0,89.0,True
71,71.0,-71.0,True
-96,-96.0,96.0,True
8,8.0,-8.0,True
77,77.0,-77.0,True
-27,-27.0,27.0,True
-44,-44.0,44.0,True
80,80.0,-80.0,True
47,47.0,-47.0,True
-65,-65.0,65.0,True
36,36.0,-36.0,True
-20,-20.0,20.0,True
37,37.0,-37.0,True
-81,-81.0,81.0,True
22,22.0,-22.0,True
31,31.0,-31.0,True
76,76.0,-76.0,True
-43,-43.0,43.0,True
-12,-12.0,12.0,True
-33,-33.0,33.0,True
-15,-15.0,15.0,True
24,24.0,-24.0,True
-85,-85.0,85.0,True
89,89.0,-89.0,True
-21,-21.0,21.0,True
18,18.0,-18.0,True
73,73.0,-73.0,True
-92,-92.0,92.0,True
-64,-64.0,64.0,True
-95,-95.0,95.0,True
96,96.0,-96.0,True
-65,-65.0,65.0,True
56,56.0,-56.0,True
-43,-43.0,43.0,True
-94,-94.0,94.0,True
-62,-62.0,62.0,True
-16,-16.0,16.0,True
-58,-58.0,58.0,True
-99,-99.0,99.0,True
-75,-75.0,75.0,True
76,76.0,-76.0,True
51,51.0,-51.0,True
23,23.0,-23.0,True
-16,-16.0,16.0,True
-44,-44.0,44.0,True
91,91.0,-91.0,True
72,72.0,-72.0,True
76,76.0,-76.0,True
49,49.0,-49.0,True
3,3.0,-3.0,True
-49,-49.0,49.0,True
-64,-64.0,64.0,True
-61,-61.0,61.0,True
-9,-9.0,9.0,True
10,10.0,-10.0,True
85,85.0,-85.0,True
83,83.0,-83.0,True
-92,-92.0,92.0,True
-92,-92.0,92.0,True
15,15.0,-15.0,True
-11,-11.0,11.0,True
93,93.0,-93.0,True
32,32.0,-32.0,True
-45,-45.0,45.0,True
69,69.0,-69.0,True
-18,-18.0,18.0,True
-83,-83.0,83.0,True
6,6.0,-6.0,True
60,60.0,-60.0,True
-13,-13.0,13.0,True
-85,-85.0,85.0,True
67,67.0,-67.0,True
33,33.0,-33.0,True
-16,-16.0,16.0,True
85,85.0,-85.0,True
97,97.0,-97.0,True
-25,-25.0,25.0,True
-41,-41.0,41.0,True
-22,-22.0,22.0,True
-57,-57.0,57.0,True
52,52.0,-52.0,True
-18,-18.0,18.0,True
-13,-13.0,13.0,True
74,74.0,-74.0,True
-74,-74.0,74.0,True
-29,-29.0,29.0,True
88,88.0,-88.0,True
-8,-8.0,8.0,True
78,78.0,-78.0,True
44,44.0,-44.0,True
-29,-29.0,29.0,True
-11,-11.0,11.0,True
46,46.0,-46.0,True
7,7.0,-7.0,True
92,92.0,-92.0,True
42,42.0,-42.0,True
19,19.0,-19.0,True
59,59.0,-59.0,True
87,87.0,-87.0,True
-81,-81.0,81.0,True
-5,-5.0,5.0,True
77,77.0,-77.0,True
-63,-63.0,63.0,True
-74,-74.0,74.0,True
94,94.0,-94.0,True
27,27.0,-27.0,True
99,99.0,-99.0,True
44,44.0,-44.0,True
-76,-76.0,76.0,True
-90,-90.0,90.0,True
66,66.0,-66.0,True
-60,-60.0,60.0,True
2,2.0,-2.0,True
-30,-30.0,30.0,True
14,14.0,-14.0,True
25,25.0,-25.0,True
16,16.0,-16.0,True
-91,-91.0,91.0,True
-99,-99.0,99.0,True
-56,-56.0,56.0,True
18,18.0,-18.0,True
80,80.0,-80.0,True
66,66.0,-66.0,True
14,14.0,-14.0,True
-90,-90.0,90.0,True
30,30.0,-30.0,True
88,88.0,-88.0,True
-85,-85.0,85.0,True
59,59.0,-59.0,True
100,100.0,-100.0,True
-66,-66.0,66.0,True
-9,-9.0,9.0,True
10,10.0,-10.0,True
-61,-61.0,61.0,True
16,16.0,-16.0,True
-87,-87.0,87.0,True
-84,-84.0,84.0,True
80,80.0,-80.0,True
-21,-21.0,21.0,True
83,83.0,-83.0,True
-72,-72.0,72.0,True
72,72.0,-72.0,True
49,49.0,-49.0,True
65,65.0,-65.0,True
31,31.0,-31.0,True
-92,-92.0,92.0,True
-52,-52.0,52.0,True
-59,-59.0,59.0,True
14,14.0,-14.0,True
98,98.0,-98.0,True
3,3.0,-3.0,True
-62,-62.0,62.0,True
13,13.0,-13.0,True
-71,-71.0,71.0,True
35,35.0,-35.0,True
-3,-3.0,3.0,True
-12,-12.0,12.0,True
-89,-89.0,89.0,True
21,21.0,-21.0,True
59,59.0,-59.0,True
-79,-79.0,79.0,True
-37,-37.0,37.0,True
5,5.0,-5.0,True
100,100.0,-100.0,True
-38,-38.0,38.0,True
70,70.0,-70.0,True
-82,-82.0,82.0,True
85,85.0,-85.0,True
-16,-16.0,16.0,True
-34,-34.0,34.0,True
-28,-28.0,28.0,True
72,72.0,-72.0,True
53,53.0,-53.0,True
82,82.0,-82.0,True
32,32.0,-32.0,True
-11,-11.0,11.0,True
-80,-80.0,80.0,True
64,64.0,-64.0,True
10,10.0,-10.0,True
77,77.0,-77.0,True
-94,-94.0,94.0,True
-50,-50.0,50.0,True
81,81.0,-81.0,True
-99,-99.0,99.0,True
74,74.0,-74.0,True
-73,-73.0,73.0,True
11,11.0,-11.0,True
82,82.0,-82.0,True
-69,-69.0,69.0,True
19,19.0,-19.0,True
-18,-18.0,18.0,True
100,100.0,-100.0,True
77,77.0,-77.0,True
-11,-11.0,11.0,True
2,2.0,-2.0,True
-69,-69.0,69.0,True
4,4.0,-4.0,True
57,57.0,-57.0,True
19,19.0,-19.0,True
-76,-76.0,76.0,True
-91,-91.0,91.0,True
-23,-23.0,23.0,True
-94,-94.0,94.0,True
-4,-4.0,4.0,True
-79,-79.0,79.0,True
70,70.0,-70.0,True
-15,-15.0,15.0,True
-70,-70.0,70.0,True
-16,-16.0,16.0,True
-20,-20.0,20.0,True
94,94.0,-94.0,True
-60,-60.0,60.0,True
44,44.0,-44.0,True
61,61.0,-61.0,True
-17,-17.0,17.0,True
38,38.0,-38.0,True
72,72.0,-72.0,True
-31,-31.0,31.0,True
-56,-56.0,56.0,True
1,1.0,-1.0,True
13,13.0,-13.0,True
24,24.0,-24.0,True
56,56.0,-56.0,True
42,42.0,-42.0,True
-28,-28.0,28.0,True
11,11.0,-11.0,True
-14,-14.0,14.0,True
82,82.0,-82.0,True
-63,-63.0,63.0,True
91,91.0,-91.0,True
-79,-79.0,79.0,True
-49,-49.0,49.0,True
54,54.0,-54.0,True
-91,-91.0,91.0,True
35,35.0,-35.0,True
9,9.0,-9.0,True
23,23.0,-23.0,True
-28,-28.0,28.0,True
-90,-90.0,90.0,True
23,23.0,-23.0,True
-32,-32.0,32.0,True
89,89.0,-89.0,True
5,5.0,-5.0,True
95,95.0,-95.0,True
78,78.0,-78.0,True
-16,-16.0,16.0,True
9,9.0,-9.0,True
87,87.0,-87.0,True
-30,-30.0,30.0,True
-30,-30.0,30.0,True
0,0.0,0.0,True
-90,-90.0,90.0,True
88,88.0,-88.0,True
95,95.0,-95.0,True
-54,-54.0,54.0,True
27,27.0,-27.0,True
-93,-93.0,93.0,True
-21,-21.0,21.0,True
37,37.0,-37.0,True
45,45.0,-45.0,True
97,97.0,-97.0,True
55,55.0,-55.0,True
8,8.0,-8.0,True
91,91.0,-91.0,True
-64,-64.0,64.0,True
-65,-65.0,65.0,True
-31,-31.0,31.0,True
-29,-29.0,29.0,True
-77,-77.0,77.0,True
-59,-59.0,59.0,True
-13,-13.0,13.0,True
4,4.0,-4.0,True
73,73.0,-73.0,True
-45,-45.0,45.0,True
-95,-95.0,95.0,True
-31,-31.0,31.0,True
14,14.0,-14.0,True
10,10.0,-10.0,True
-3,-3.0,3.0,True
3,3.0,-3.0,True
-58,-58.0,58.0,True
21,21.0,-21.0,True
-36,-36.0,36.0,True
-63,-63.0,63.0,True
89,89.0,-89.0,True
9,9.0,-9.0,True
62,62.0,-62.0,True
-64,-64.0,64.0,True
11,11.0,-11.0,True
-74,-74.0,74.0,True
-51,-51.0,51.0,True
-36,-36.0,36.0,True
56,56.0,-56.0,True
59,59.0,-59.0,True
-50,-50.0,50.0,True
-9,-9.0,9.0,True
73,73.0,-73.0,True
-54,-54.0,54.0,True
-55,-55.0,55.0,True
-11,-11.0,11.0,True
91,91.0,-91.0,True
-96,-96.0,96.0,True
-51,-51.0,51.0,True
-6,-6.0,6.0,True
-33,-33.0,33.0,True
9,9.0,-9.0,True
55,55.0,-55.0,True
-72,-72.0,72.0,True
-75,-75.0,75.0,True
67,67.0,-67.0,True
58,58.0,-58.0,True
5,5.0,-5.0,True
68,68.0,-68.0,True
-22,-22.0,22.0,True
61,61.0,-61.0,True
-74,-74.0,74.0,True
38,38.0,-38.0,True
91,91.0,-91.0,True
7,7.0,-7.0,True
-61,-61.0,61.0,True
-69,-69.0,69.0,True
-68,-68.0,68.0,True
-34,-34.0,34.0,True
-16,-16.0,16.0,True
77,77.0,-77.0,True
34,34.0,-34.0,True
-76,-76.0,76.0,True
65,65.0,-65.0,True
10,10.0,-10.0,True
2,2.0,-2.0,True
-54,-54.0,54.0,True
15,15.0,-15.0,True
-33,-33.0,33.0,True
46,46.0,-46.0,True
-75,-75.0,75.0,True
26,26.0,-26.0,True
-88,-88.0,88.0,True
47,47.0,-47.0,True
73,73.0,-73.0,True
39,39.0,-39.0,True
50,50.0,-50.0,True
83,83.0,-83.0,True
-44,-44.0,44.0,True
-78,-78.0,78.0,True
-48,-48.0,48.0,True
15,15.0,-15.0,True
33,33.0,-33.0,True
-54,-54.0,54.0,True
5,5.0,-5.0,True
42,42.0,-42.0,True
-79,-79.0,79.0,True
63,63.0,-63.0,True
-37,-37.0,37.0,True
-77,-77.0,77.0,True
65,65.0,-65.0,True
-99,-99.0,99.0,True
-36,-36.0,36.0,True
82,82.0,-82.0,True
92,92.0,-92.0,True
-79,-79.0,79.0,True
-93,-93.0,93.0,True
66,66.0,-66.0,True
79,79.0,-79.0,True
-51,-51.0,51.0,True
94,94.0,-94.0,True
-26,-26.0,26.0,True
27,27.0,-27.0,True
-84,-84.0,84.0,True
-6,-6.0,6.0,True
0,0.0,0.0,True
82,82.0,-82.0,True
96,96.0,-96.0,True
-78,-78.0,78.0,True
10,10.0,-10.0,True
-56,-56.0,56.0,True
-49,-49.0,49.0,True
81,81.0,-81.0,True
-90,-90.0,90.0,True
43,43.0,-43.0,True
-31,-31.0,31.0,True
20,20.0,-20.0,True
44,44.0,-44.0,True
25,25.0,-25.0,True
-54,-54.0,54.0,True
-88,-88.0,88.0,True
1,1.0,-1.0,True
29,29.0,-29.0,True
70,70.0,-70.0,True
-61,-61.0,61.0,True
84,84.0,-84.0,True
2,2.0,-2.0,True
-33,-33.0,33.0,True
-20,-20.0,20.0,True
52,52.0,-52.0,True
-54,-54.0,54.0,True
88,88.0,-88.0,True
-92,-92.0,92.0,True
61,61.0,-61.0,True
-23,-23.0,23.0,True
33,33.0,-33.0,True
64,64.0,-64.0,True
-39,-39.0,39.0,True
-66,-66.0,66.0,True
-45,-45.0,45.0,True
49,49.0,-49.0,True
99,99.0,-99.0,True
99,99.0,-99.0,True
17,17.0,-17.0,True
12,12.0,-12.0,True
-100,-100.0,100.0,True
-54,-54.0,54.0,True
18,18.0,-18.0,True
91,91.0,-91.0,True
-6,-6.0,6.0,True
81,81.0,-81.0,True
-78,-78.0,78.0,True
-77,-77.0,77.0,True
57,57.0,-57.0,True
80,80.0,-80.0,True
-64,-64.0,64.0,True
8,8.0,-8.0,True
-2,-2.0,2.0,True
98,98.0,-98.0,True
-43,-43.0,43.0,True
78,78.0,-78.0,True
18,18.0,-18.0,True
-99,-99.0,99.0,True
-87,-87.0,87.0,True
79,79.0,-79.0,True
2,2.0,-2.0,True
7,7.0,-7.0,True
30,30.0,-30.0,True
-15,-15.0,15.0,True
69,69.0,-69.0,True
36,36.0,-36.0,True
-6,-6.0,6.0,True
19,19.0,-19.0,True
10,10.0,-10.0,True
87,87.0,-87.0,True
89,89.0,-89.0,True
34,34.0,-34.0,True
-79,-79.0,79.0,True
73,73.0,-73.0,True
82,82.0,-82.0,True
-32,-32.0,32.0,True
-42,-42.0,42.0,True
76,76.0,-76.0,True
34,34.0,-34.0,True
-45,-45.0,45.0,True
-16,-16.0,16.0,True
72,72.0,-72.0,True
95,95.0,-95.0,True
22,22.0,-22.0,True
0,0.0,0.0,True
-95,-95.0,95.0,True
-29,-29.0,29.0,True
10,10.0,-10.0,True
9,9.0,-9.0,True
-34,-34.0,34.0,True
34,34.0,-34.0,True
13,13.0,-13.0,True
90,90.0,-90.0,True
-12,-12.0,12.0,True
91,91.0,-91.0,True
74,74.0,-74.0,True
-77,-77.0,77.0,True
25,25.0,-25.0,True
-12,-12.0,12.0,True
79,79.0,-79.0,True
23,23.0,-23.0,True
-35,-35.0,35.0,True
-83,-83.0,83.0,True
-78,-78.0,78.0,True
-42,-42.0,42.0,True
73,73.0,-73.0,True
27,27.0,-27.0,True
49,49.0,-49.0,True
4,4.0,-4.0,True
30,30.0,-30.0,True
36,36.0,-36.0,True
75,75.0,-75.0,True
-73,-73.0,73.0,True
87,87.0,-87.0,True
-12,-12.0,12.0,True
39,39.0,-39.0,True
92,92.0,-92.0,True
-15,-15.0,15.0,True
50,50.0,-50.0,True
-39,-39.0,39.0,True
96,96.0,-96.0,True
-5,-5.0,5.0,True
18,18.0,-18.0,True
-30,-30.0,30.0,True
45,45.0,-45.0,True
-33,-33.0,33.0,True
70,70.0,-70.0,True
57,57.0,-57.0,True
39,39.0,-39.0,True
46,46.0,-46.0,True
-14,-14.0,14.0,True
89,89.0,-89.0,True
-54,-54.0,54.0,True
84,84.0,-84.0,True
-37,-37.0,37.0,True
-22,-22.0,22.0,True
23,23.0,-23.0,True
96,96.0,-96.0,True
-42,-42.0,42.0,True
-21,-21.0,21.0,True
14,14.0,-14.0,True
86,86.0,-86.0,True
54,54.0,-54.0,True
61,61.0,-61.0,True
56,56.0,-56.0,True
-5,-5.0,5.0,True
51,51.0,-51.0,True
4,4.0,-4.0,True
-55,-55.0,55.0,True
-46,-46.0,46.0,True
1,1.0,-1.0,True
23,23.0,-23.0,True
42,42.0,-42.0,True
86,86.0,-86.0,True
-15,-15.0,15.0,True
83,83.0,-83.0,True
54,54.0,-54.0,True
23,23.0,-23.0,True
96,96.0,-96.0,True
39,39.0,-39.0,True
-83,-83.0,83.0,True
-63,-63.0,63.0,True
-22,-22.0,22.0,True
-17,-17.0,17.0,True
-11,-11.0,11.0,True
56,56.0,-56.0,True
63,63.0,-63.0,True
29,29.0,-29.0,True
72,72.0,-72.0,True
-90,-90.0,90.0,True
15,15.0,-15.0,True
-3,-3.0,3.0,True
91,91.0,-91.0,True
49,49.0,-49.0,True
58,58.0,-58.0,True
42,42.0,-42.0,True
83,83.0,-83.0,True
89,89.0,-89.0,True
28,28.0,-28.0,True
46,46.0,-46.0,True
-93,-93.0,93.0,True
-58,-58.0,58.0,True
24,24.0,-24.0,True
-35,-35.0,35.0,True
92,92.0,-92.0,True
-59,-59.0,59.0,True
-34,-34.0,34.0,True
20,20.0,-20.0,True
-99,-99.0,99.0,True
-29,-29.0,29.0,True
74,74.0,-74.0,True
-65,-65.0,65.0,True
-4,-4.0,4.0,True
-35,-35.0,35.0,True
22,22.0,-22.0,True
-93,-93.0,93.0,True
91,91.0,-91.0,True
75,75.0,-75.0,True
-59,-59.0,59.0,True
-29,-29.0,29.0,True
-83,-83.0,83.0,True
-24,-24.0,24.0,True
83,83.0,-83.0,True
-88,-88.0,88.0,True
-7,-7.0,7.0,True
-68,-68.0,68.0,True
-97,-97.0,97.0,True
58,58.0,-58.0,True
92,92.0,-92.0,True
-98,-98.0,98.0,True
-10,-10.0,10.0,True
-71,-71.0,71.0,True
16,16.0,-16.0,True
28,28.0,-28.0,True
3,3.0,-3.0,True
86,86.0,-86.0,True
-88,-88.0,88.0,True
76,76.0,-76.0,True
76,76.0,-76.0,True
42,42.0,-42.0,True
-92,-92.0,92.0,True
17,17.0,-17.0,True
-77,-77.0,77.0,True
-94,-94.0,94.0,True
-25,-25.0,25.0,True
69,69.0,-69.0,True
-100,-100.0,100.0,True
78,78.0,-78.0,True
-15,-15.0,15.0,True
-17,-17.0,17.0,True
46,46.0,-46.0,True
85,85.0,-85.0,True
39,39.0,-39.0,True
-40,-40.0,40.0,True
76,76.0,-76.0,True
35,35.0,-35.0,True
-55,-55.0,55.0,True
64,64.0,-64.0,True
-60,-60.0,60.0,True
-90,-90.0,90.0,True
35,35.0,-35.0,True
-23,-23.0,23.0,True
54,54.0,-54.0,True
-41,-41.0,41.0,True
80,80.0,-80.0,True
-63,-63.0,63.0,True
-90,-90.0,90.0,True
5,5.0,-5.0,True
73,73.0,-73.0,True
57,57.0,-57.0,True
-12,-12.0,12.0,True
-95,-95.0,95.0,True
67,67.0,-67.0,True
-97,-97.0,97.0,True
-22,-22.0,22.0,True
-59,-59.0,59.0,True
-23,-23.0,23.0,True
-28,-28.0,28.0,True
-96,-96.0,96.0,True
3,3.0,-3.0,True
-95,-95.0,95.0,True
6,6.0,-6.0,True
64,64.0,-64.0,True
-94,-94.0,94.0,True
71,71.0,-71.0,True
-32,-32.0,32.0,True
96,96.0,-96.0,True
20,20.0,-20.0,True
-77,-77.0,77.0,True
-75,-75.0,75.0,True
-15,-15.0,15.0,True
68,68.0,-68.0,True
-68,-68.0,68.0,True
63,63.0,-63.0,True
-95,-95.0,95.0,True
-56,-56.0,56.0,True
-66,-66.0,66.0,True
-40,-40.0,40.0,True
67,67.0,-67.0,True
-58,-58.0,58.0,True
43,43.0,-43.0,True
72,72.0,-72.0,True
32,32.0,-32.0,True
16,16.0,-16.0,True
81,81.0,-81.0,True
-41,-41.0,41.0,True
26,26.0,-26.0,True
38,38.0,-38.0,True
60,60.0,-60.0,True
-76,-76.0,76.0,True
11,11.0,-11.0,True
-68,-68.0,68.0,True
23,23.0,-23.0,True
-29,-29.0,29.0,True
65,65.0,-65.0,True
14,14.0,-14.0,True
92,92.0,-92.0,True
-52,-52.0,52.0,True
58,58.0,-58.0,True
27,27.0,-27.0,True
16,16.0,-16.0,True
-23,-23.0,23.0,True
16,16.0,-16.0,True
-89,-89.0,89.0,True
-20,-20.0,20.0,True
-50,-50.0,50.0,True
-63,-63.0,63.0,True
-68,-68.0,68.0,True
54,54.0,-54.0,True
-46,-46.0,46.0,True
6,6.0,-6.0,True
71,71.0,-71.0,True
45,45.0,-45.0,True
56,56.0,-56.0,True
-95,-95.0,95.0,True
74,74.0,-74.0,True
-99,-99.0,99.0,True
51,51.0,-51.0,True
-18,-18.0,18.0,True
74,74.0,-74.0,True
88,88.0,-88.0,True
-70,-70.0,70.0,True
4,4.0,-4.0,True
-25,-25.0,25.0,True
-93,-93.0,93.0,True
62,62.0,-62.0,True
44,44.0,-44.0,True
62,62.0,-62.0,True
-79,-79.0,79.0,True
-43,-43.0,43.0,True
-77,-77.0,77.0,True
-42,-42.0,42.0,True
14,14.0,-14.0,True
28,28.0,-28.0,True
-47,-47.0,47.0,True
-77,-77.0,77.0,True
-36,-36.0,36.0,True
8,8.0,-8.0,True
66,66.0,-66.0,True
-31,-31.0,31.0,True
-60,-60.0,60.0,True
52,52.0,-52.0,True
67,67.0,-67.0,True
-3,-3.0,3.0,True
-57,-57.0,57.0,True
-70,-70.0,70.0,True
26,26.0,-26.0,True
26,26.0,-26.0,True
93,93.0,-93.0,True
38,38.0,-38.0,True
-24,-24.0,24.0,True
-87,-87.0,87.0,True
-90,-90.0,90.0,True
-3,-3.0,3.0,True
-62,-62.0,62.0,True
41,41.0,-41.0,True
42,42.0,-42.0,True
68,68.0,-68.0,True
27,27.0,-27.0,True
97,97.0,-97.0,True
27,27.0,-27.0,True
-92,-92.0,92.0,True
11,11.0,-11.0,True
-19,-19.0,19.0,True
-59,-59.0,59.0,True
-28,-28.0,28.0,True
72,72.0,-72.0,True
88,88.0,-88.0,True
57,57.0,-57.0,True
89,89.0,-89.0,True
48,48.0,-48.0,True
-88,-88.0,88.0,True
-14,-14.0,14.0,True
51,51.0,-51.0,True
14,14.0,-14.0,True
-31,-31.0,31.0,True
70,70.0,-70.0,True
58,58.0,-58.0,True
35,35.0,-35.0,True
14,14.0,-14.0,True
-8,-8.0,8.0,True
72,72.0,-72.0,True
55,55.0,-55.0,True
-49,-49.0,49.0,True
-63,-63.0,63.0,True
-32,-32.0,32.0,True
12,12.0,-12.0,True
-31,-31.0,31.0,True
95,95.0,-95.0,True
67,67.0,-67.0,True
-85,-85.0,85.0,True
19,19.0,-19.0,True
-28,-28.0,28.0,True
-33,-33.0,33.0,True
-20,-20.0,20.0,True
45,45.0,-45.0,True
44,44.0,-44.0,True
46,46.0,-46.0,True
-92,-92.0,92.0,True
-7,-7.0,7.0,True
17,17.0,-17.0,True
2,2.0,-2.0,True
-35,-35.0,35.0,True
81,81.0,-81.0,True
-40,-40.0,40.0,True
34,34.0,-34.0,True
-82,-82.0,82.0,True
-10,-10.0,10.0,True
43,43.0,-43.0,True
17,17.0,-17.0,True
-63,-63.0,63.0,True
-13,-13.0,13.0,True
-2,-2.0,2.0,True
-80,-80.0,80.0,True
-53,-53.0,53.0,True
85,85.0,-85.0,True
-81,-81.0,81.0,True
91,91.0,-91.0,True
-51,-51.0,51.0,True
-18,-18.0,18.0,True
7,7.0,-7.0,True
-5,-5.0,5.0,True
41,41.0,-41.0,True
31,31.0,-31.0,True
-27,-27.0,27.0,True
-32,-32.0,32.0,True
-94,-94.0,94.0,True
-27,-27.0,27.0,True
-42,-42.0,42.0,True
-36,-36.0,36.0,True
44,44.0,-44.0,True
26,26.0,-26.0,True
-9,-9.0,9.0,True
-4,-4.0,4.0,True
-80,-80.0,80.0,True
-17,-17.0,17.0,True
34,34.0,-34.0,True
-26,-26.0,26.0,True
24,24.0,-24.0,True
-1,-1.0,1.0,True
-56,-56.0,56.0,True
-72,-72.0,72.0,True
11,11.0,-11.0,True
-65,-65.0,65.0,True
3,3.0,-3.0,True
40,40.0,-40.0,True
7,7.0,-7.0,True
-94,-94.0,94.0,True
19,19.0,-19.0,True
-13,-13.0,13.0,True
83,83.0,-83.0,True
50,50.0,-50.0,True
71,71.0,-71.0,True
-85,-85.0,85.0,True
-51,-51.0,51.0,True
34,34.0,-34.0,True
-48,-48.0,48.0,True
-89,-89.0,89.0,True
27,27.0,-27.0,True
-63,-63.0,63.0,True
46,46.0,-46.0,True
61,61.0,-61.0,True
18,18.0,-18.0,True
64,64.0,-64.0,True
92,92.0,-92.0,True
-23,-23.0,23.0,True
41,41.0,-41.0,True
52,52.0,-52.0,True
-54,-54.0,54.0,True
5,5.0,-5.0,True
-7,-7.0,7.0,True
74,74.0,-74.0,True
86,86.0,-86.0,True
-11,-11.0,11.0,True
66,66.0,-66.0,True
-55,-55.0,55.0,True
60,60.0,-60.0,True
31,31.0,-31.0,True
54,54.0,-54.0,True
57,57.0,-57.0,True
